"";"rp.object@id";"score";"percentile"
"106";452;0,0364484029522344;53
"107";455;0,0401255455910628;60
"108";457;0,0959588956878229;92
"109";459;0,0392683364599073;58
"110";460;0,0240841594194085;30
"111";461;0,0560763885965035;76
"112";464;0,0341913985687932;49
"113";465;0,0308227489836685;43
"114";468;0,0471704614386607;68
"115";473;0,0603552205224702;80
"116";474;0,0176090636339678;17
"117";476;0,0212721218755702;25
"118";478;0,0812527020335616;88
"119";490;0,0440868002438884;65
"120";491;0,0917192921003516;91
"121";492;0,0235198868819558;29
"122";494;0,0355244964344581;51
"123";496;0,0138018204301729;8
"124";498;0,0556858245344835;76
"125";499;0,0242656020721155;31
"126";501;0,038813831620345;57
"127";502;0,0111685823754789;1
"128";504;0,0147322568874293;10
"129";513;0,08229790113742;88
"130";514;0,0257495216575676;34
